cus_id,money_1,money_2,investment
54018,250.99,0,pending
23513,20.05,2220.05,warmup
21230,0,0,warmup
100387,0,0,eligible
97357,0,0,eligible
1276,103.1,0,warmup
22083,0,0,warmup
36009,0,0,eligible
34173,13145.2,8043.6,investing
62550,2040.18,1029.67,investing
14525,0,0,eligible
104314,0,0,eligible
51395,0,0,investing
114111,723.14,591.7,investing
97515,0,0,eligible
101488,3150,3262.5,pending
62742,127.51,122.51,investing
100040,75164.98,55304.44,investing
117750,0,0,warmup
104496,0,0,eligible
109169,6949.26,869.99,warmup
36482,0,0,eligible
102188,654.39,24.74,investing
107171,90297,78316.05,eligible
110350,0,0,eligible
107152,2929,2553,pending
104203,0,0,pending
106429,0,0,eligible
111373,4322.83,4311.68,investing
86195,0,0,warmup
76747,0,0,non_eligible
101857,0,0,pending
92097,2901.01,2.19,pending
120495,0,0,eligible
85737,1611.18,2015.18,pending
108219,0,0,eligible
199224,0,0,eligible
111056,16928.74,7400.22,investing
106468,24810.01,56.46,investing
103692,0,0,eligible
113291,0,0,eligible
105248,0,0,eligible
117348,374.85,1000,warmup
106614,0,0,eligible
137910,0,0,eligible
121227,26153.7,26086.27,investing
182278,0,0,eligible
127890,0,0,eligible
106507,0,0,warmup
126967,85218.88,150499.21,investing
464074,0,0,investing
104371,0,0,warmup
170781,0,0,investing
115682,1311.92,2821.89,investing
109089,823145.66,767104.17,eligible
102566,0,0,warmup
195833,0,0,pending
104578,0,0,eligible
104778,0,0,warmup
551009,20113.34,3174.51,investing
116978,0,0,eligible
116855,55164.93,14816.91,warmup
104487,93.36,502.84,pending
110163,0,6500,eligible
202727,0,0,warmup
659361,150,0,warmup
111064,0,0,eligible
142713,34009.76,61029.93,investing
116673,742.33,1392,eligible
215347,77.6,0,eligible
447419,5684.15,5342.83,warmup
143168,0,0,warmup
442336,0,0,eligible
125257,0,0,eligible
1089496,5798.4,12097.56,investing
711505,0,0,eligible
824853,0,,eligible
685275,0,0,pending
362165,0,0,eligible
283377,0,0,eligible
585226,3715.01,0,eligible
196440,0,0,eligible
187442,0,0,warmup
133151,0,0,eligible
372520,0,0,eligible
163890,0,0,eligible
154204,20082.09,720.55,investing
361001,12104.22,12104.22,banned
650586,2550,0,warmup
188473,1300,0,eligible
424282,19176.72,16922.99,investing
240212,0,0,warmup
185014,0,0,eligible
320650,75,75,warmup
595469,0,0,eligible
174941,3441.14,2595.97,investing
382838,3243.42,3831.2,warmup
953723,4316.57,5135.07,pending
395856,0,0,warmup
498800,300,0,eligible
896033,70.03,35070.03,investing
621809,0,0,eligible
488391,0,0,eligible
925814,4809.16,5201.9,warmup
965089,0,0,eligible
967354,0,0,eligible
401456,0,0,warmup
410695,32625.13,14065.73,investing
324161,0,0,eligible
178764,2550.18,2579.68,investing
418104,16188.77,11963.16,investing
420915,1740,0,eligible
1048812,0,0,warmup
294709,0,0,disable_pending
