cus_id,pa_3,pb_3,pa_2,pb_2,pa_1,pb_1,last_login_pa,last_login_pb
424070401,,,1,0,,,,
271894453,1,14,11,21,2,12,5/17/2019,5/24/2019
327402711,,,0,10,4,26,5/28/2019,5/31/2019
310355113,5,18,5,7,3,10,5/21/2019,5/29/2019
59350476,1,18,5,17,4,27,5/31/2019,5/31/2019
19118101,14,21,14,27,13,27,5/27/2019,5/31/2019
299481475,15,23,17,25,15,27,5/31/2019,5/31/2019
268946327,12,19,9,17,17,22,5/30/2019,5/31/2019
224456651,1,24,11,29,0,25,5/31/2019,5/31/2019
396103263,1,6,0,2,4,3,5/30/2019,5/24/2019
306910942,19,20,11,9,13,11,5/27/2019,5/31/2019
44589257,12,11,5,7,10,14,5/31/2019,5/31/2019
351438099,16,0,8,0,5,0,5/31/2019,5/31/2019
186767760,4,3,0,4,1,3,5/10/2019,5/31/2019
74353561,3,16,6,14,3,15,5/28/2019,5/31/2019
30523493,12,17,17,24,20,31,5/31/2019,5/31/2019
151749859,0,20,0,26,0,27,5/31/2019,5/31/2019
71904669,13,9,18,15,20,11,5/30/2019,5/31/2019
3359956,0,29,0,29,3,22,5/25/2019,5/31/2019
384446009,22,0,10,0,2,0,5/17/2019,5/17/2019
426426177,,,2,3,6,8,5/27/2019,5/27/2019
32688877,0,4,0,6,0,5,5/30/2019,5/30/2019
418545194,2,0,2,0,4,0,5/13/2019,5/13/2019
206446865,1,2,3,7,4,14,5/20/2019,5/31/2019
326378600,7,0,21,13,9,16,5/31/2019,5/31/2019
134686570,18,15,16,16,17,19,5/31/2019,5/31/2019
393035907,7,0,4,0,6,0,5/24/2019,5/24/2019
388904242,12,4,12,0,8,0,5/29/2019,5/29/2019
57711833,8,0,9,0,5,0,5/24/2019,5/24/2019
57648126,,,,,5,0,5/27/2019,5/27/2019
170639928,,,,,,,,
270657078,11,26,11,24,8,20,5/29/2019,5/29/2019
191588927,,,,,,,,
273268968,5,11,4,5,2,9,5/22/2019,5/31/2019
41388508,11,0,10,0,10,0,5/31/2019,5/31/2019
74622434,4,27,6,21,7,26,5/30/2019,5/31/2019
60426585,29,30,29,29,30,29,5/31/2019,5/31/2019
402750303,,,2,0,6,0,5/19/2019,5/19/2019
188576845,19,30,13,26,14,26,5/28/2019,5/30/2019
150979941,,,1,0,1,0,5/30/2019,5/30/2019
358539286,3,3,3,3,4,1,5/18/2019,5/29/2019
286781819,14,31,12,27,2,28,5/14/2019,5/31/2019
436148081,,,,,12,13,5/31/2019,5/31/2019
61325808,2,22,5,25,5,25,5/24/2019,5/30/2019
105572915,5,0,2,0,4,0,5/31/2019,5/31/2019
241925948,,,,,0,4,5/16/2019,5/16/2019
45274881,0,19,0,9,1,4,5/31/2019,5/31/2019
436700456,,,,,0,3,5/20/2019,5/20/2019
261749242,10,14,8,9,4,8,5/22/2019,5/31/2019
130291348,0,24,0,13,0,21,5/29/2019,5/29/2019
288651388,23,14,24,5,27,15,5/31/2019,5/31/2019
146512040,7,25,8,24,7,23,5/26/2019,5/31/2019
301497596,1,0,2,0,1,0,5/7/2019,5/7/2019
280760253,,,,,,,,
120890132,2,0,3,0,2,0,5/17/2019,5/17/2019
32844085,9,4,10,2,12,0,5/28/2019,5/28/2019
40543719,2,2,12,0,2,0,5/2/2019,5/2/2019
373570001,,,,,1,0,5/27/2019,5/27/2019
19315411,1,3,2,2,10,13,5/30/2019,5/31/2019
315597756,27,0,22,0,20,0,5/31/2019,5/31/2019
260859640,5,16,7,22,9,22,5/23/2019,5/31/2019
384841272,7,0,2,0,1,0,5/26/2019,5/26/2019
78372283,31,25,16,29,18,26,5/31/2019,5/31/2019
147220254,2,0,,,,,,
84892690,2,14,1,18,1,16,5/21/2019,5/31/2019
391220509,2,0,8,0,13,0,5/27/2019,5/27/2019
212491572,6,0,6,0,7,0,5/24/2019,5/24/2019
143651661,5,29,14,29,8,31,5/28/2019,5/31/2019
222954689,,,,,,,,
91185420,5,28,9,24,6,23,5/28/2019,5/31/2019
372116638,1,0,,,0,3,5/27/2019,5/27/2019
20306713,7,0,2,0,5,0,5/25/2019,5/25/2019
179189214,14,20,13,8,11,0,5/31/2019,5/31/2019
25062565,0,21,0,21,0,26,5/31/2019,5/31/2019
97879274,1,10,0,13,1,19,5/11/2019,5/31/2019
11858484,4,25,6,29,10,23,5/30/2019,5/31/2019
146620093,2,31,2,29,1,31,5/31/2019,5/31/2019
83212129,1,5,0,3,3,2,5/7/2019,5/17/2019
125693369,,,,,,,,
329467339,9,18,0,18,2,21,5/16/2019,5/31/2019
174408731,,,0,3,3,6,5/30/2019,5/29/2019
128426465,2,23,9,24,8,16,5/19/2019,5/28/2019
252353381,,,1,5,,,,
368489543,2,26,3,13,3,16,5/20/2019,5/31/2019
270425824,,,,,,,,
83102592,0,10,0,13,0,11,5/27/2019,5/27/2019
387124415,,,,,,,,
263061658,,,,,1,1,5/2/2019,5/17/2019
176226531,2,7,5,12,7,12,5/28/2019,5/28/2019
216123609,2,0,,,,,,
92423274,0,11,0,21,0,17,5/29/2019,5/29/2019
184052555,1,0,1,0,1,0,5/21/2019,5/21/2019
59201378,,,,,0,1,5/30/2019,5/30/2019
220488910,0,10,0,5,0,8,5/28/2019,5/28/2019
402826703,,,,,,,,
223317655,,,,,,,,
285486781,4,0,3,3,2,15,5/20/2019,5/29/2019
169932187,0,20,0,11,0,12,5/29/2019,5/29/2019
76532635,1,7,5,5,0,9,5/31/2019,5/31/2019
280799270,,,,,,,,
190899425,3,22,3,15,0,19,5/31/2019,5/31/2019
153371951,,,1,0,2,0,5/22/2019,5/22/2019
85546411,4,19,1,9,4,22,5/26/2019,5/31/2019
301169321,2,0,10,0,11,3,5/30/2019,5/27/2019
28996907,2,0,,,11,4,5/30/2019,5/26/2019
442598513,,,,,,,,
898712,2,10,6,8,1,4,5/24/2019,5/31/2019
415148165,,,4,0,13,4,5/31/2019,5/31/2019
58675156,2,0,5,0,2,0,5/8/2019,5/8/2019
165432830,3,7,5,1,2,1,5/24/2019,5/1/2019
444901201,,,,,,,,
273629730,9,5,14,6,21,0,5/29/2019,5/29/2019
173561067,,,,,1,0,5/30/2019,5/30/2019
434940397,,,,,4,4,5/29/2019,5/22/2019
144253246,14,0,19,1,25,7,5/31/2019,5/28/2019
145007052,0,23,1,22,1,23,5/2/2019,5/31/2019
337050138,0,16,3,15,3,20,5/22/2019,5/28/2019
228603444,11,21,12,13,16,20,5/29/2019,5/31/2019
183437293,0,21,8,14,6,8,5/14/2019,5/26/2019
23729160,3,16,9,23,5,27,5/31/2019,5/31/2019
153557126,0,6,0,4,0,6,5/18/2019,5/18/2019
119878530,,,2,0,9,0,5/29/2019,5/29/2019
393711870,2,0,,,,,,
8221190,5,27,3,10,13,10,5/31/2019,5/30/2019
397628695,,,,,,,,
143067003,,,,,,,,
312094269,5,12,3,20,2,23,5/31/2019,5/31/2019
151599875,5,0,4,0,9,0,5/30/2019,5/30/2019
358789316,12,0,7,0,15,0,5/30/2019,5/30/2019
114076785,1,4,3,16,2,11,5/27/2019,5/23/2019
75590496,2,0,6,0,,,,
115582869,0,14,0,10,0,13,5/29/2019,5/29/2019
262210798,0,5,0,6,0,12,5/31/2019,5/31/2019
6576791,12,14,8,10,7,12,5/30/2019,5/31/2019
19773036,29,31,29,28,30,28,5/31/2019,5/31/2019
17177894,,,0,3,1,15,5/31/2019,5/30/2019
282290902,,,,,3,0,5/13/2019,5/13/2019
399503153,2,26,0,24,0,24,5/31/2019,5/31/2019
12944332,5,4,5,8,1,15,5/23/2019,5/30/2019
280436224,,,,,,,,
32384327,0,27,0,27,0,31,5/31/2019,5/31/2019
46220557,3,0,7,0,7,0,5/31/2019,5/31/2019
67021410,0,16,0,9,0,15,5/31/2019,5/31/2019
9649286,3,18,3,15,4,24,5/24/2019,5/28/2019
34922351,3,22,4,18,2,11,5/3/2019,5/28/2019
274457377,1,26,5,26,5,27,5/28/2019,5/31/2019
150862502,,,,,,,,
181256986,0,11,0,9,,,,
171508646,3,11,7,13,8,15,5/30/2019,5/29/2019
206546957,,,,,7,0,5/30/2019,5/30/2019
394551100,20,0,8,0,10,0,5/31/2019,5/31/2019
386135325,,,,,,,,
320650,0,8,1,10,0,15,5/29/2019,5/29/2019
399768942,3,8,3,10,12,19,5/29/2019,5/31/2019
174903765,8,9,7,12,4,11,5/22/2019,5/28/2019
33842567,13,0,6,0,12,0,5/21/2019,5/21/2019
72299572,,,,,,,,
128090439,5,0,9,3,11,5,5/28/2019,5/22/2019
65916456,,,3,0,,,,
78755628,,,,,1,5,5/29/2019,5/31/2019
273529263,1,9,4,4,1,10,5/23/2019,5/31/2019
81919585,1,21,0,21,2,27,5/30/2019,5/31/2019
335797136,11,0,9,0,13,0,5/28/2019,5/28/2019
41793583,,,,,,,,
207639041,12,3,9,13,8,7,5/30/2019,5/19/2019
143178443,22,23,17,29,13,29,5/29/2019,5/31/2019
156458596,10,26,3,21,10,26,5/27/2019,5/31/2019
355390030,,,0,6,0,4,5/9/2019,5/9/2019
342118527,0,13,6,25,7,27,5/28/2019,5/31/2019
438794132,,,,,2,0,5/31/2019,5/31/2019
297205282,5,19,3,7,,,,
166085737,4,0,7,2,3,4,5/28/2019,5/23/2019
240897683,0,5,0,11,15,18,5/31/2019,5/31/2019
183602622,0,12,0,8,,,,
38090279,4,17,0,18,0,19,5/30/2019,5/30/2019
15221464,16,18,12,6,12,10,5/30/2019,5/31/2019
43996244,27,31,26,30,25,31,5/31/2019,5/31/2019
387799820,0,1,12,25,11,30,5/30/2019,5/31/2019
226653786,5,1,2,2,13,0,5/31/2019,5/31/2019
103703162,5,23,5,19,11,21,5/31/2019,5/31/2019
146043757,0,22,0,17,3,27,5/29/2019,5/31/2019
307107406,11,4,2,0,2,3,5/31/2019,5/31/2019
221665289,0,16,0,20,1,21,5/27/2019,5/30/2019
305913222,,,1,0,14,1,5/30/2019,5/25/2019
172699916,1,0,2,0,3,0,5/20/2019,5/20/2019
74038288,0,10,0,9,0,8,5/31/2019,5/31/2019
129712603,,,,,3,0,5/19/2019,5/19/2019
