cus_id,spent_pb,last_date_pb,frequency_pb
53621056,71.51,3/30/2019,1
308208758,269.2,5/30/2019,11
30591970,149.22,3/24/2019,4
343783095,352.15,5/31/2019,11
163876883,1.1,5/10/2019,1
306605560,39.46,2/13/2019,1
91853834,817.92,6/1/2019,5
11011622,148.72,5/10/2019,7
114331746,14.05,5/29/2019,2
171889347,4.66,5/9/2019,1
74347710,100.92,5/6/2019,3
137769413,283.52,5/7/2019,9
185305351,543.5,5/8/2019,16
45965927,426.74,5/31/2019,14
154140122,403.08,5/6/2019,6
33689268,357.22,5/20/2019,13
187792984,377.38,3/30/2019,3
118250727,3548.93,5/30/2019,28
66422024,79.78,1/24/2019,4
101648423,77.41,1/4/2019,1
102073929,178.47,5/15/2019,7
165978683,202.29,5/18/2019,6
177056867,625.76,5/16/2019,11
64386171,86.19,1/30/2019,2
191303384,1050.57,5/27/2019,12
201701152,137.24,5/6/2019,2
10258490,37.5,2/28/2019,3
146577925,69.64,4/5/2019,12
149019731,23.55,1/7/2019,1
74719222,53.96,5/14/2019,7
59834470,476.25,5/15/2019,10
184622946,970.64,5/17/2019,6
168482295,19.45,5/23/2019,2
184427829,68.24,4/25/2019,1
85000979,273.76,2/26/2019,4
54018,1133.54,5/30/2019,15
38661032,1.53,12/5/2018,1
280956380,229.74,5/15/2019,5
86000431,736.96,5/31/2019,3
115965172,55.23,4/10/2019,1
113840341,285.7,4/28/2019,10
115909333,11.27,4/15/2019,1
205282327,287.12,6/1/2019,8
160391220,150.67,3/6/2019,2
23505627,18.17,12/3/2018,1
86036765,130.83,5/24/2019,1
404600020,44.62,5/13/2019,1
306377328,8.7,1/6/2019,1
96526778,134.12,3/8/2019,3
122317888,362.66,4/18/2019,7
295453382,388.52,4/13/2019,14
10362121,2.11,3/21/2019,2
152137764,2.44,5/24/2019,1
115397145,375.57,5/4/2019,7
115827196,70.27,5/29/2019,2
85781168,214.24,5/7/2019,6
325776145,258.62,3/9/2019,1
101398058,464.05,5/21/2019,3
195817449,403.8,5/10/2019,3
97144538,1007.17,5/14/2019,3
371431203,51.19,1/16/2019,1
30452077,147.7,1/23/2019,1
80134292,77.25,3/7/2019,1
192462969,5236,5/29/2019,75
18881234,94.72,4/15/2019,2
236553128,518.89,3/25/2019,7
181782739,404.19,5/16/2019,7
45060190,1.56,5/15/2019,1
199856938,359.97,5/29/2019,6
144602576,59.9,3/11/2019,1
54909931,178.51,5/14/2019,2
180928104,5.88,5/23/2019,1
346728096,118.11,5/17/2019,2
99039763,170.28,4/8/2019,4
244843605,14.73,2/1/2019,1
2050837,2622.71,5/23/2019,23
346672305,20.13,3/11/2019,4
108989916,109.35,5/24/2019,3
181497457,105.13,4/28/2019,2
123920471,281.77,5/10/2019,1
161149041,78.07,5/25/2019,1
2305843,30,5/28/2019,2
282217631,344.68,5/27/2019,5
35406229,808.89,4/20/2019,9
59201159,94.84,5/1/2019,4
299946688,547.79,2/5/2019,5
319014800,55.78,5/13/2019,1
162337456,297.88,1/30/2019,2
25542167,679.97,5/16/2019,17
205356821,58.93,2/5/2019,4
109400486,107.88,2/5/2019,2
227892133,34.69,5/13/2019,4
172978868,297.64,3/28/2019,4
210399336,598.09,5/3/2019,8
426446658,17.85,5/27/2019,1
167567656,332.61,5/1/2019,9
50687941,737.02,4/20/2019,7
149712244,58.33,12/31/2018,1
46538076,104.46,2/4/2019,2
5742297,53.4,4/4/2019,3
232938506,41.97,5/18/2019,6
214421309,73.47,4/23/2019,2
115477106,1.42,5/18/2019,1
265795652,344.61,5/22/2019,3
82083415,1451.84,5/31/2019,7
57401542,2284.15,5/29/2019,40
89879883,124.09,4/22/2019,4
136110804,785.17,4/29/2019,4
84069535,834.07,4/3/2019,7
214401045,276.83,5/14/2019,8
186476322,24.01,5/5/2019,5
15374692,9.32,1/26/2019,1
214074625,369.02,4/24/2019,5
142713,80.57,5/30/2019,3
45605162,7.36,5/26/2019,1
1749841,19.64,4/11/2019,2
224448084,12.7,12/12/2018,1
196567151,252.46,5/20/2019,5
98201794,226.46,6/1/2019,5
244418882,89.26,3/12/2019,4
281407310,319.37,5/29/2019,3
175982451,274.44,5/10/2019,9
435901145,56.57,5/29/2019,1
298614475,10.26,5/29/2019,2
65078780,79.35,3/17/2019,3
172558190,42.6,1/24/2019,1
366861016,50.25,5/8/2019,1
95597938,13.78,1/3/2019,1
209292703,217.85,3/12/2019,3
45006979,1880.27,5/29/2019,44
33835911,165.62,2/8/2019,2
24576330,6.55,12/16/2018,1
7926282,6.5,12/2/2018,1
59431265,67.94,12/24/2018,1
71407778,42.3,5/31/2019,2
139815826,364.79,4/26/2019,8
178993730,628.75,4/20/2019,8
27987927,1.12,3/20/2019,1
133432882,249.53,5/20/2019,14
200665179,115.54,5/21/2019,3
57153637,856.84,5/29/2019,11
154891861,91.93,5/17/2019,3
46307168,304.53,5/2/2019,10
120293282,284.63,5/30/2019,4
93527029,8.75,2/27/2019,1
3368427,134.72,5/6/2019,6
311997080,15.59,5/21/2019,2
102201495,5.32,1/21/2019,1
143405168,237.68,6/1/2019,7
411598192,154.53,2/28/2019,1
91803986,106.44,5/19/2019,1
81078592,189.31,4/15/2019,7
80143761,9.64,2/1/2019,1
35027924,250.83,4/26/2019,3
94332570,581.73,5/15/2019,16
195833,530.56,5/26/2019,8
30653896,29.49,6/1/2019,2
353942903,4.48,1/9/2019,1
223099253,37.24,5/13/2019,2
36346883,307.16,5/31/2019,9
10421890,157.34,5/15/2019,6
137395110,5.94,4/22/2019,1
76163426,141.36,4/23/2019,3
97613460,135.94,4/28/2019,3
21322901,277.87,3/29/2019,5
131222695,207.22,5/30/2019,9
19054175,978.66,5/27/2019,10
41255304,46.15,5/29/2019,2
113761519,372.81,2/18/2019,3
77835838,702.28,4/15/2019,9
91605271,631.04,5/14/2019,4
110152057,2.28,5/13/2019,1
96834169,162.66,3/19/2019,2
103623729,281.92,5/15/2019,2
416543423,2.43,4/26/2019,1
175382755,58.28,5/16/2019,4
307292467,55.02,2/6/2019,2
123138154,438.41,4/24/2019,7
42802591,21.16,5/9/2019,4
177664380,8.03,5/27/2019,1
93291956,204.21,4/14/2019,16
151465280,226.54,5/13/2019,6
48538234,443.91,2/4/2019,1
57259353,191.24,4/9/2019,6
176777389,710.87,5/22/2019,10
62565488,12.15,5/2/2019,2
99747025,775.84,5/12/2019,7
25204222,8.5,3/19/2019,1
16361956,1.22,3/30/2019,1
139708030,98.92,3/13/2019,2
33039604,186.55,5/24/2019,5
57018313,101.04,5/21/2019,6
75085128,25.81,3/7/2019,2
93201700,45.92,1/15/2019,1
210562736,67.21,3/7/2019,3
101938466,132.98,4/25/2019,9
184663095,16.97,3/21/2019,2
295181432,196.7,5/16/2019,21
163495739,360.38,3/17/2019,8
112498212,82.33,5/13/2019,5
27587489,1223.09,5/13/2019,10
221879049,867.85,5/28/2019,13
63477336,69.3,5/10/2019,1
376626160,643.82,5/17/2019,5
171140621,22.07,3/31/2019,2
209841206,165.94,5/17/2019,3
343705436,1070.47,6/1/2019,14
152798584,2696.85,5/31/2019,25
208375273,515.78,4/29/2019,8
96853011,197.62,5/20/2019,3
69748626,279.04,5/16/2019,9
168809902,48.3,2/19/2019,1
